"","count","day"
"1",31,1
"2",24,2
"3",27,3
"4",33,4
"5",16,5
"6",11,6
"7",23,7
"8",27,8
"9",27,9
"10",22,10
"11",36,11
"12",26,12
"13",25,13
"14",22,14
"15",33,15
"16",34,16
"17",27,17
"18",28,18
"19",21,19
"20",23,20
"21",19,21
"22",14,22
"23",31,23
"24",33,24
"25",17,25
"26",26,26
"27",30,27
"28",31,28
"29",28,29
"30",33,30
"31",30,31
"32",23,32
"33",27,33
"34",25,34
"35",24,35
"36",28,36
"37",23,37
"38",18,38
"39",28,39
"40",28,40
"41",24,41
"42",21,42
"43",29,43
"44",23,44
"45",22,45
"46",18,46
"47",27,47
"48",26,48
"49",25,49
"50",24,50
"51",21,51
"52",17,52
"53",27,53
"54",28,54
"55",25,55
"56",19,56
"57",28,57
"58",34,58
"59",33,59
"60",27,60
"61",28,61
"62",25,62
"63",24,63
"64",29,64
"65",23,65
"66",27,66
"67",20,67
"68",25,68
"69",21,69
"70",31,70
"71",21,71
"72",23,72
"73",28,73
"74",26,74
"75",18,75
"76",19,76
"77",21,77
"78",28,78
"79",29,79
"80",16,80
"81",21,81
"82",29,82
"83",24,83
"84",31,84
"85",21,85
"86",18,86
"87",18,87
"88",19,88
"89",24,89
"90",26,90
"91",22,91
"92",29,92
"93",28,93
"94",27,94
"95",29,95
"96",26,96
"97",31,97
"98",15,98
"99",22,99
"100",19,100
"101",21,101
"102",13,102
"103",25,103
"104",34,104
"105",28,105
"106",31,106
"107",37,107
"108",27,108
"109",18,109
"110",19,110
"111",29,111
"112",21,112
"113",26,113
"114",21,114
"115",24,115
"116",24,116
"117",28,117
"118",21,118
"119",28,119
"120",30,120
"121",24,121
"122",40,122
"123",29,123
"124",19,124
"125",28,125
"126",24,126
"127",24,127
"128",26,128
"129",25,129
"130",27,130
"131",21,131
"132",27,132
"133",21,133
"134",32,134
"135",20,135
"136",22,136
"137",19,137
"138",22,138
"139",22,139
"140",34,140
"141",20,141
"142",21,142
"143",19,143
"144",19,144
"145",20,145
"146",28,146
"147",22,147
"148",29,148
"149",19,149
"150",18,150
